Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-06-30,171.6245574951172,172.8501504100554,171.14932187749557,172.80011556467298,182925100
2015-07-01,173.00021362304688,173.44209266901464,172.21649977644702,173.19196933387408,135979900
2015-07-02,172.84178161621094,173.64217365104963,172.4249136801449,173.47542902098317,104373700
2015-07-06,172.3498992919922,173.1252676311306,171.35775146051736,171.55785267148914,117975400
2015-07-07,173.4337921142578,173.55884744416352,170.17388081547682,172.55003385811443,173820200
2015-07-08,170.5240478515625,172.38327583973646,170.29060275537043,172.09980861176086,164020100
2015-07-09,170.8324737548828,172.8751368028293,170.72409674318993,172.61666799820853,144113100
2015-07-10,172.98355102539062,173.40041904782046,170.87419984963972,172.82513914137888,129456900
2015-07-13,174.89280700683594,175.0011840376992,174.20080458943872,174.24249393444856,106069400
2015-07-14,175.65151977539062,175.96001079082825,174.79277258894697,174.85114022385267,81709600
2015-07-15,175.5931396484375,176.15174124239255,175.11790402148668,175.69318389756324,97914100
2015-07-16,177.00213623046875,177.00213623046875,176.4018453575481,176.6436231738465,106683300
2015-07-17,177.15220642089844,177.21057404232326,176.58527209631774,176.99379455908894,89030000
2015-07-20,177.2439422607422,177.73584347269255,176.92713121534828,177.37734308080402,70446800
2015-07-21,176.54360961914062,177.36901289331283,176.2434641305146,177.11054402998832,77965000
2015-07-22,176.2267303466797,176.56023229667733,175.8265407284811,175.85988456258156,88667900
2015-07-23,175.234619140625,176.4602120277821,174.87611878188716,176.36016778288803,90509100
2015-07-24,173.41708374023438,175.39303394072115,173.08359443714681,175.3346790374915,117755000
2015-07-27,172.40829467773438,173.0419423003663,171.96641553132218,172.53336273463475,132361100
2015-07-28,174.5259246826172,174.66765824861352,172.41657402795545,173.24196436651047,123544800
2015-07-29,175.72654724121094,175.95164681042806,174.50928703541234,174.65102063440906,105791300
2015-07-30,175.7682342529297,175.9349789129583,174.6009961891253,175.21796542521344,91304400
2015-07-31,175.50143432617188,176.29348101036186,175.21796712918638,176.26846994720444,103266900
2015-08-03,174.9095001220703,175.52646944872632,173.95904142640262,175.46811453396106,113965700
2015-08-04,174.5676727294922,175.29301908230389,174.0841042536832,174.83446167232952,81820800
2015-08-05,175.1428985595703,176.17672288604265,174.8594186980476,175.45970953616686,85786800
2015-08-06,173.7089080810547,175.43473505916185,173.12528267877659,175.32634530357268,116030800
2015-08-07,173.37539672851562,173.70055325602934,172.47496033190805,173.5504868841622,117858000
2015-08-10,175.559814453125,175.64318042898392,174.4842877735788,174.4842877735788,80270700
2015-08-11,173.97569274902344,174.64268410548195,173.21698992202937,174.22581609792064,126081400
2015-08-12,174.18409729003906,174.36752020008473,171.21599961373644,172.6750373934088,172123700
2015-08-13,173.96730041503906,174.70932470561127,173.42536455764736,174.02565530078417,89383300
2015-08-14,174.6009979248047,174.67603111429312,173.63386107650172,173.7755946750251,72786500
2015-08-17,175.57647705078125,175.57647705078125,173.55050449419164,174.00906187998444,79072600
2015-08-18,175.0679168701172,175.65152964294157,174.83447176098744,175.30136197924693,71692700
2015-08-19,173.683837890625,175.09284062460674,172.87511319377865,174.32580525970258,172946000
2015-08-20,170.0571746826172,173.65890847141773,169.99880704182453,172.1748590448641,194327900
2015-08-21,164.93795776367188,170.03208410082271,164.67950169657928,168.18952235257711,346588500
2015-08-24,157.992919921875,164.64612744671922,152.07339118436803,156.3171156941075,507244300
2015-08-25,156.13375854492188,162.95371354145988,155.8419458295441,162.9370352578318,369833100
2015-08-26,162.12832641601562,162.4034481318135,157.05086393563715,160.1440304415734,339257000
2015-08-27,166.13858032226562,166.26363563658603,162.75361411543824,164.26267427664732,274143900
2015-08-28,166.1468963623047,166.61378645112822,165.01301498010434,165.49658334975751,160414400
2015-08-31,164.80459594726562,166.02185612224434,164.2543271261738,165.1714418279935,163298800
2015-09-01,159.88555908203125,162.3867671258326,159.0184665026377,161.01109506866067,256000400
2015-09-02,162.92034912109375,162.96203846399754,160.4274739883416,162.2616905798971,160269300
2015-09-03,163.03707885742188,165.12141887676555,162.54517766608922,163.62902429870644,152087800
2015-09-04,160.56918334960938,161.62803143495745,159.7521257835405,160.78596281128029,207081000
2015-09-08,164.60450744628906,164.75458655536866,162.72026849359887,163.36224883448918,116025700
2015-09-09,162.4034423828125,166.30533377944414,162.0366092008,166.18027845850835,149347700
2015-09-10,163.28717041015625,164.42938444737737,161.95318796879775,162.2116440453836,158611100
2015-09-11,164.02919006347656,164.09589045579688,162.18662830079998,162.89530883762922,119691200
2015-09-14,163.42059326171875,164.25432928458272,162.9370248418414,164.20430715869924,79452000
2015-09-15,165.46327209472656,165.90515121022568,163.37893184357856,163.92085522015572,113806200
2015-09-16,166.89724731445312,167.0890157322511,165.42154392267057,165.76337869686665,99581600
2015-09-17,166.5220947265625,169.1567036506817,166.14691605513212,166.7638853009481,276046600
2015-09-18,163.80088806152344,166.50785238419843,163.3902416722408,164.0187945909634,223657500
2015-09-21,164.6472930908203,165.66972706910326,163.59970523919577,164.6305281045718,105726200
2015-09-22,162.51025390625,162.97119523935484,161.37885361480554,162.4851128142571,153890900
2015-09-23,162.25042724609375,163.14715588396928,161.67215665007348,162.67783852718148,92790600
2015-09-24,161.66375732421875,162.12469855128106,159.70267587228614,161.0352045931169,159378800
2015-09-25,161.62185668945312,163.4237026548314,160.75025644738236,163.121996846105,155054800
2015-09-28,157.5656280517578,160.8341106320066,157.2555460629324,160.72515737628274,178515900
2015-09-29,157.65782165527344,159.01550458938314,156.6605156934075,157.78353990565944,159045600
2015-09-30,160.5994110107422,160.7670225082803,158.76403506104677,159.5434342791708,163452000
2015-10-01,161.01849365234375,161.32019955209685,159.08255279057036,160.97658756861168,131079000
2015-10-02,163.42376708984375,163.4489081848222,158.495907866993,159.040661430058,211003300
2015-10-05,166.3318634033203,166.55814603288178,164.53839293436835,164.64734619822048,126320800
2015-10-06,165.7619171142578,166.7592228059203,165.09984721152352,166.19771724589557,110274500
2015-10-07,167.1196746826172,167.4716628280082,165.5021916464763,166.6922504584011,124307300
2015-10-08,168.62815856933594,168.9130994493407,166.43240532450972,166.7341111939089,153055200
2015-10-09,168.72865295410156,169.2063462562413,168.10010038585708,168.77055901623814,107069200
2015-10-12,168.88795471191406,169.08908342854323,168.3767312439153,168.80414255469205,56395600
2015-10-13,167.82354736328125,169.4242644172241,167.6559358910424,168.158770307759,88038700
2015-10-14,167.01898193359375,168.34313420498796,166.72566507604145,167.76486379915826,99106200
2015-10-15,169.58352661132812,169.59190271048726,167.3123505213068,167.68110349131211,134142200
2015-10-16,170.3545379638672,170.37129016102787,169.22313804661948,169.9857850193439,114580100
2015-10-19,170.4384002685547,170.4384002685547,169.39920099152405,169.7092829967101,76523900
2015-10-20,170.220458984375,170.83224672217682,169.7511416628866,170.00256531023766,78448500
2015-10-21,169.16455078125,170.79039695586204,168.9969264357949,170.639550390483,102038000
2015-10-22,172.0222930908203,172.231810651103,169.16448328739693,170.1114939640774,174911700
2015-10-23,173.90797424316406,174.2767272443333,172.8939162778874,173.69008055517259,144442300
2015-10-26,173.48060607910156,173.79068809444453,173.11185298629266,173.73202980492053,69033000
2015-10-27,173.1453094482422,173.48053241502902,172.4664618404037,172.8100736935189,77905800
2015-10-28,175.11480712890625,175.1399482178146,172.81850242234762,173.4805724101665,135906700
2015-10-29,175.01422119140625,175.38297416717518,174.49462170078885,174.61195103053916,90525500
2015-10-30,174.2599639892578,175.52545841839262,174.10074136256867,175.20698758913662,131076900
2015-11-02,176.3216552734375,176.51440791141056,174.46113770568715,174.5868559557975,86270800
2015-11-03,176.83285522460938,177.3859847602942,175.74336114194094,175.9696437316192,95246100
2015-11-04,176.2964630126953,177.25186261170902,175.7600985498795,177.12615718602464,96224500
2015-11-05,176.12046813964844,176.8160680220549,175.23211566918215,176.35512680022677,78408700
2015-11-06,176.02833557128906,176.26300709402958,174.70419533404373,175.77692463253484,110471500
2015-11-09,174.38568115234375,175.56736342301136,173.43865755824206,175.41650410925396,131008700
2015-11-10,174.78794860839844,174.82147858334838,173.6397963311649,173.9079721910716,75874600
2015-11-11,174.10076904296875,175.10645107827153,174.03372186888976,175.05616889469752,67846000
2015-11-12,171.6703338623047,173.5308511321067,171.65358166199235,173.06153376457812,121315200
2015-11-13,169.74278259277344,171.52787673580528,169.65898322089475,171.25970084267732,153577100
2015-11-16,172.32403564453125,172.38270671213425,169.44107135405784,169.55841348926387,117645200
2015-11-17,172.19830322265625,173.5140669260381,171.7038448214845,172.6341033533533,121123700
2015-11-18,174.930419921875,175.07289034629054,172.6341153557277,172.67600864272038,121342500
2015-11-19,174.7795867919922,175.19862199754098,174.48625703293217,174.81310398174264,88220500
2015-11-20,175.41650390625,176.09533884752574,175.03937480420112,175.5338332443972,94011500
2015-11-23,175.21543884277344,175.97807342374583,174.75449742266258,175.47523870103316,64931200
2015-11-24,175.45008850097656,175.8523588158634,173.82422946054962,174.2097347824995,98874400
2015-11-25,175.42494201660156,175.77693012980754,175.16512939186023,175.57578858457168,51980100
2015-11-27,175.62608337402344,175.82722493369,175.03943647659173,175.51713009737782,37317800
2015-11-30,174.8968963623047,175.90257818432067,174.78794312904074,175.7852488515511,112822700
2015-12-01,176.56466674804688,176.6820088811428,175.2489028622171,175.52546763035855,97858400
2015-12-02,174.7628631591797,176.83289858748088,174.51143941876535,176.51442766375988,108441300
2015-12-03,172.31568908691406,175.28245325525342,171.59494789072716,175.0142773246412,166224200
2015-12-04,175.67628479003906,175.96961449785195,172.31562763233055,172.31562763233055,192913900
2015-12-07,174.61195373535156,175.76848206425177,173.64816520867367,175.34944691037563,102027100
2015-12-08,173.43870544433594,174.561716961954,172.4581643919731,173.05320013551412,103372400
2015-12-09,172.08938598632812,174.88853826661926,171.11722117910855,172.8017509958119,162401500
2015-12-10,172.53353881835938,173.84092651795578,171.92175104363824,172.1564097185433,116128900
2015-12-11,169.18963623046875,171.08367050452372,168.87954152371802,170.42160059431686,211173300
2015-12-14,170.04446411132812,170.1701823330511,167.57215920603662,169.3488769938021,182385200
2015-12-15,171.82957458496094,172.7346921593939,170.01933943609507,171.55300981600035,154069600
2015-12-16,174.3437957763672,174.645501651764,171.6368317866301,172.95259575159645,197017000
2015-12-17,171.6870880126953,174.7208985098075,171.6703230255021,174.6538513489731,173092500
2015-12-18,168.6284942626953,171.08178369521318,168.46831115642496,170.94690416829022,251393500
2015-12-21,170.01959228515625,170.1966402158997,168.6875584201057,169.80040172409127,99094300
2015-12-22,171.5623321533203,171.8574076490797,169.91837134677345,170.90474783070158,111026200
2015-12-23,173.68682861328125,173.72898408993737,172.4728229242392,172.5655598272645,110987200
2015-12-24,173.4001922607422,173.94818777080295,173.1810017751457,173.4339217902471,48539600
2015-12-28,173.0039520263672,173.0460946385875,171.9332646766393,172.70887655655358,65899900
2015-12-29,174.85023498535156,175.17902711134462,174.06619717107773,174.09991383300613,92640700
2015-12-30,173.61094665527344,174.69007284761014,173.46762832336478,174.60576189281886,63317700
2015-12-31,171.87428283691406,173.57726411896667,171.87428283691406,172.9365444743356,114877900
2016-01-04,169.47157287597656,169.4799988274123,167.42293464087555,169.02475303297206,222353500
2016-01-05,169.7581787109375,170.21342442255937,168.65377466351708,169.7918953745946,110845800
2016-01-06,167.61683654785156,168.66222047693086,166.58830452056264,167.2121593520333,152112600
2016-01-07,163.59539794921875,166.45336388828252,163.20758563161553,164.6745110972754,213436100
2016-01-08,161.7997283935547,165.1129538128163,161.51309169258369,164.55653231278043,209817200
2016-01-11,161.95986938476562,163.05584733382375,160.02927226678258,162.7186164227053,187941300
2016-01-12,163.26666259765625,164.01698392014976,161.14215222113893,163.40155500404893,172330500
2016-01-13,159.19473266601562,164.2783742184074,158.81535892677246,163.93271715783084,221168900
2016-01-14,161.80812072753906,162.9293894456111,158.20827221925188,159.80165137355536,240795600
2016-01-15,158.33474731445312,159.13564997514615,156.40414983282272,157.45797250848364,324846400
2016-01-19,158.54551696777344,160.27378878445893,156.9774282612069,160.14733520491595,195244400
2016-01-20,156.51376342773438,158.07342638030607,152.61041236653622,155.9910714143323,286547800
2016-01-21,157.3905029296875,159.22836322824276,155.6622314255676,156.98583868428858,195772900
2016-01-22,160.61941528320312,160.82174097213112,159.23680066466977,159.99554772623839,168319600
2016-01-25,158.19140625,160.3074772476961,157.99750650746512,160.11357750516123,130371700
2016-01-26,160.34970092773438,160.62791173616895,158.5118398383817,158.8490580439721,141036800
2016-01-27,158.6045379638672,161.4962213181551,157.70245954537472,159.82696974006484,185681700
2016-01-28,159.4307098388672,160.34964003457762,157.78674919882445,160.147314333677,143798800
2016-01-29,163.31723022460938,163.45212261959614,160.07988992920824,160.19791755880993,210529300
2016-02-01,163.2582244873047,164.0422753468065,161.73229111753486,162.31400336657373,136061600
2016-02-02,160.31594848632812,161.84188175187165,159.7932436610134,161.83345580102923,182564900
2016-02-03,161.2770233154297,161.68168761708515,157.7361817318406,161.3697602245639,205054900
2016-02-04,161.52996826171875,162.4994801181011,160.14735322560009,160.77964692255767,139531800
2016-02-05,158.45277404785156,161.58895134209288,157.82048044601333,161.01567798450176,180788300
2016-02-08,156.3199005126953,156.91003887095755,154.1110914300346,156.61497612385213,191526700
2016-02-09,156.32830810546875,157.60133448311433,154.4482915335103,154.58318396071311,184513100
2016-02-10,156.193359375,158.7815407475706,156.06689295648195,157.15444498113396,148214100
2016-02-11,154.16163635253906,155.2070332423687,152.66941960703548,153.72324244853974,219058900
2016-02-12,157.33993530273438,157.35678720240546,155.0889717482724,155.9320298374662,127632400
